"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","20-24","Both sexes","
0.00048
","4.8E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","25-29","Both sexes","
0.00054
","5.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","80-84","Male","
0.09674
","0.09674","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","40-44","Male","
0.00153
","0.00153","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","95-99","Male","
0.31853
","0.31853","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","40-44","Female","
0.00095
","9.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","1-4","Both sexes","
0.00031
","3.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","5-9","Both sexes","
0.00019
","1.9E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","60-64","Male","
0.01323
","0.01323","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","60-64","Female","
0.00465
","0.00465","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","75-79","Both sexes","
0.03104
","0.03104","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","25-29","Male","
0.00072
","7.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","100+","Male","
0.54538
","0.54538","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","5-9","Male","
0.00022
","2.2E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","95-99","Both sexes","
0.28119
","0.28119","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","80-84","Female","
0.04310
","0.0431","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","95-99","Female","
0.32904
","0.32904","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","5-9","Female","
0.00010
","1.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","90-94","Female","
0.13220
","0.1322","","",""
